RID,GENERIC_CASE_ID,GENERIC_OFFENDER_ID,CHARGE_NUMBER,SENTENCE_YEAR,RACE,GENDER,AGE_GROUP,OFFENSE,OFFENSE_TYPE,HOMICIDE_TYPE,OFFENSE_SEVERITY_GROUP,SENTENCE_TYPE,SENTENCE_IMPOSED_MONTHS,SENTENCE_SUSPENDED_MONTHS,SENTENCE_TO_SERVE_MONTHS,SENTENCE_PROBATION_MONTHS,VVCA_AMT,FINE_AMT,RESTITUTION_AMT,FINE_SUSPENDED_AMT,GIS_ID,CREATED,EDITED,Normal_Age
91,9700611,6780541,2,2020,Black,F,31-40,Assault with Significant Bodily Injury,Violent,,M8,Short Split,10,10,1,0,100,0,0,0,Felony_Sentences_53,,,36
92,6743713,7140351,1,2020,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D3,Short Split,30,30,1,18,100,0,0,0,Felony_Sentences_54,,,54
93,4992056,6527916,1,2020,Black,M,31-40,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,24,0,24,0,100,,,,Felony_Sentences_55,,,34
94,5385516,6442465,1,2020,Black,M,18-21,Receiving Stolen Property $1000 or More,Property,,M9,Incarceration,12,0,12,0,100,,,,Felony_Sentences_56,,,19
95,4772197,6420004,1,2020,Black,M,51-60,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M4,Incarceration,72,0,72,0,100,,,,Felony_Sentences_57,,,54
96,4796891,328410,1,2020,Black,M,61-70,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,1,0,1,0,100,0,0,0,Felony_Sentences_58,,,64
97,2686262,3848270,1,2020,Black,F,31-40,Second Degree Cruelty to Children,Other,,M8,Short Split,14,10,4,24,100,0,0,0,Felony_Sentences_59,,,38
98,8665722,5976914,1,2020,Black,M,51-60,Assault with Significant Bodily Injury,Violent,,M6,Incarceration,24,0,24,0,100,,,,Felony_Sentences_60,,,55
99,2372101,4016358,1,2020,Black,M,22-30,Unlawful Possession of a Firearm (Intrafamily Offense),Weapon,,M8,Probation,24,24,0,18,100,,,,Felony_Sentences_61,,,25
100,3003651,204115,1,2020,Black,M,41-50,Unlawful Possession of a Firearm,Weapon,,M8,Incarceration,12,0,12,0,100,,,,Felony_Sentences_62,,,45
101,3003651,204115,2,2020,Black,M,41-50,Carrying a Pistol Without a License (Outside Home or Place of Business/Prior Felony) 2015,Weapon,,M8,Incarceration,12,0,12,0,100,,,,Felony_Sentences_63,,,44
102,360719,7610507,2,2020,Black,M,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,1,0,1,1,100,,,,Felony_Sentences_64,,,44
103,2744787,6133530,1,2020,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Probation,12,12,0,12,100,0,0,0,Felony_Sentences_65,,,25
104,4177920,1280299,1,2020,Black,M,31-40,Aggravated Assault Knowingly,Violent,,M4,Incarceration,72,0,72,0,100,,,,Felony_Sentences_66,,,34
105,7391032,4069188,2,2020,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Short Split,32,32,1,18,100,,,,Felony_Sentences_67,,,24
106,4711071,7228686,1,2020,Black,M,18-21,Unlawful Possession of a Firearm,Weapon,,M8,Probation,28,28,0,12,100,,,,Felony_Sentences_68,,,19
107,2401183,9223293,1,2020,Black,M,22-30,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M3,Incarceration,144,0,144,0,100,,,,Felony_Sentences_69,,,27
108,1242697,2564846,1,2020,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Short Split,16,10,6,24,100,,,,Felony_Sentences_70,,,23
109,4837706,9475319,2,2020,Black,M,31-40,Aggravated Aslt-Grave Risk,Violent,,M6,Incarceration,30,0,30,0,100,,,,Felony_Sentences_71,,,38
110,4837706,9475319,4,2020,Black,M,31-40,Obstruction Justice (Harassment - Arrest),Other,,M5,Incarceration,60,0,60,0,100,,,,Felony_Sentences_72,,,38
111,9985469,9837092,1,2020,Black,M,31-40,Burglary Two,Property,,M7,Incarceration,48,0,48,0,100,,,,Felony_Sentences_73,,,35
112,9985469,9837092,3,2020,Black,M,31-40,Burglary Two,Property,,M7,Incarceration,48,0,48,0,100,,,,Felony_Sentences_74,,,33
113,9985469,9837092,5,2020,Black,M,31-40,Burglary Two,Property,,M7,Incarceration,48,0,48,0,100,,,,Felony_Sentences_75,,,38
114,9985469,9837092,11,2020,Black,M,31-40,Burglary Two,Property,,M7,Incarceration,48,0,48,0,100,,,,Felony_Sentences_76,,,34
115,7810055,8177805,2,2020,Black,M,31-40,Unlawful Possession of Liquid PCP,Drug,,D3,Short Split,30,30,1,12,100,,,,Felony_Sentences_77,,,33
116,9255247,2971422,2,2020,Black,M,31-40,Aggravated Aslt Knowingly Grave Risk,Violent,,M4,Incarceration,108,0,108,0,100,,,,Felony_Sentences_78,,,35
117,9255247,2971422,4,2020,Black,M,31-40,Kidnapping,Violent,,M5,Incarceration,84,0,84,0,100,,,,Felony_Sentences_79,,,34
118,8506769,4006633,1,2020,Black,M,41-50,Kidnapping,Violent,,M8,Incarceration,1,0,1,0,100,0,0,0,Felony_Sentences_80,,,43
119,7480684,5183977,1,2020,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Short Split,9,9,1,12,100,,,,Felony_Sentences_81,,,26
120,6083149,4184686,2,2020,Black,M,22-30,Unlawful Possession of a Firearm (Intrafamily Offense),Weapon,,M8,Probation,24,24,0,18,100,,,,Felony_Sentences_82,,,24
121,8030972,6378215,3,2020,Black,M,22-30,Bail Reform Act -Felony,Other,,M9,Short Split,24,24,1,24,100,,,,Felony_Sentences_83,,,24
122,7370539,7131889,1,2020,Black,M,22-30,Second Degree Child Sex Abuse,Sex,,M6,Incarceration,48,0,48,0,100,,,,Felony_Sentences_84,,,24
123,7370539,7131889,2,2020,Black,M,22-30,Second Degree Child Sex Abuse,Sex,,M8,Incarceration,24,0,24,0,100,,,,Felony_Sentences_85,,,27
124,5337836,3684405,3,2020,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,6,6,0,24,100,,,,Felony_Sentences_86,,,26
125,5518151,2879519,4,2020,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Short Split,14,8,6,12,100,,,,Felony_Sentences_87,,,20
126,4438295,8505278,1,2020,Black,M,15-17,Robbery,Violent,,M5,Incarceration,48,0,48,0,100,,,,Felony_Sentences_88,,,16
127,4438295,8505278,2,2020,Black,M,15-17,Assault W/I to Commit Robbery,Violent,,M6,Incarceration,24,0,24,0,100,,,,Felony_Sentences_89,,,16
128,4386187,1738249,1,2020,Black,M,22-30,Unlawful Possession of a Firearm,Weapon,,M8,Probation,24,24,0,60,100,,,,Felony_Sentences_90,,,25
129,4386187,1738249,2,2020,Black,M,22-30,Carrying a Pistol Without a License (Outside Home or Place of Business/Prior Felony) 2015,Weapon,,M8,Probation,12,12,0,60,100,,,,Felony_Sentences_91,,,24
130,858129,669519,1,2020,Black,F,22-30,Robbery,Violent,,M6,Incarceration,60,0,60,0,100,,,,Felony_Sentences_92,,,25
131,858129,669519,2,2020,Black,F,22-30,Unlawful Possession of a Firearm (Crime of Violence),Weapon,,M6,Incarceration,36,0,36,0,100,,,,Felony_Sentences_93,,,25
132,4389179,3103188,1,2020,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M8,Incarceration,24,0,24,0,100,,,,Felony_Sentences_94,,,22
133,5967114,9004579,1,2020,Black,M,31-40,Unlawful Possession of a Firearm,Weapon,,M8,Incarceration,12,0,12,0,100,,,,Felony_Sentences_95,,,39
134,4936490,4793603,1,2020,Black,F,31-40,Burglary Two,Property,,M8,Incarceration,18,0,18,0,100,0,0,0,Felony_Sentences_96,,,35
135,4936490,4793603,2,2020,Black,F,31-40,Burglary Two,Property,,M8,Incarceration,18,0,18,0,100,0,0,0,Felony_Sentences_97,,,35
136,3047525,8451698,1,2020,Black,M,18-21,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M4,Incarceration,114,0,114,0,100,,,,Felony_Sentences_98,,,19
137,3047525,8451698,2,2020,Black,M,18-21,Unlawful Possession of a Firearm,Weapon,,M8,Incarceration,12,0,12,0,100,,,,Felony_Sentences_99,,,18
138,3867214,3287776,4,2020,Black,F,31-40,Threat to Kidnap or Injure a Person,Violent,,M8,Short Split,10,10,1,24,100,,,,Felony_Sentences_100,,,34
139,3805910,3822847,1,2020,White,M,61-70,First Degree Child Sex Abuse,Sex,,M3,Incarceration,180,0,180,0,100,,,,Felony_Sentences_101,,,65
140,3805910,3822847,2,2020,White,M,61-70,First Degree Sexual Abuse of a Minor,Sex,,M6,Incarceration,90,0,90,0,100,,,,Felony_Sentences_102,,,66
141,9068646,4395844,1,2020,Black,M,18-21,Robbery,Violent,,M6,Incarceration,30,0,30,0,100,,,,Felony_Sentences_103,,,20
142,7778026,3970483,1,2020,Black,M,22-30,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M4,Incarceration,66,0,66,0,100,,,,Felony_Sentences_104,,,24
143,3676749,6181687,1,2020,Black,M,22-30,Robbery,Violent,,M6,Incarceration,36,0,36,0,100,,,,Felony_Sentences_105,,,23
144,3676749,6181687,2,2020,Black,M,22-30,Assault W/I to Commit Robbery,Violent,,M6,Incarceration,36,0,36,0,100,,,,Felony_Sentences_106,,,26
145,5558732,7188662,1,2020,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,22,0,22,0,100,,,,Felony_Sentences_107,,,27
146,5346247,2498637,2,2020,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Short Split,15,15,1,18,100,,,,Felony_Sentences_108,,,18
147,9845401,7389203,1,2020,Black,M,41-50,Unlawful Possession of a Firearm,Weapon,,M8,Long Split,18,6,12,12,100,,,,Felony_Sentences_109,,,45
148,9845401,7389203,2,2020,Black,M,41-50,Carrying A Rifle or Shotgun (Outside Home or Place of Business) (Prior Conviction),Weapon,,M8,Long Split,18,6,12,12,100,,,,Felony_Sentences_110,,,45
149,8309990,1175366,1,2020,Black,M,22-30,Unlawful Possession of a Firearm (Intrafamily Offense),Weapon,,M8,Short Split,24,24,1,24,100,0,0,0,Felony_Sentences_111,,,24
150,8309990,1175366,2,2020,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Short Split,12,12,1,24,100,0,0,0,Felony_Sentences_112,,,26
151,7521551,549035,1,2020,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Short Split,24,21,3,60,100,,"1,708.61",,Felony_Sentences_113,,,18
152,7521551,549035,2,2020,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Short Split,24,21,3,60,100,,,,Felony_Sentences_114,,,18
153,7521551,549035,3,2020,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Short Split,24,21,3,60,100,,,,Felony_Sentences_115,,,19
154,8024091,427195,1,2020,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,6,6,0,6,100,,,,Felony_Sentences_116,,,26
155,5977716,6782281,2,2020,Black,M,31-40,Assault W/I to Commit Robbery,Violent,,M6,Incarceration,36,0,36,0,100,,,,Felony_Sentences_117,,,34
156,5457614,6177456,1,2020,Black,M,22-30,First Degree Child Sex Abuse,Sex,,M6,Long Split,60,30,30,60,100,,,,Felony_Sentences_118,,,26
157,5457614,6177456,2,2020,Black,M,22-30,Second Degree Child Sex Abuse,Sex,,M6,Long Split,60,30,30,60,100,,,,Felony_Sentences_119,,,25
158,8679660,3129212,2,2020,Black,M,31-40,Assault With A Dangerous Weapon,Violent,,M6,Short Split,30,30,1,18,100,,,,Felony_Sentences_120,,,34
159,5446475,5599123,1,2020,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,6,6,0,9,100,,,,Felony_Sentences_121,,,25
160,4167026,352140,1,2020,Black,M,18-21,Robbery,Violent,,M8,Probation,12,12,0,18,100,,,,Felony_Sentences_122,,,18
161,3652782,2507291,1,2020,White,F,51-60,Theft First Degree,Property,,M8,Probation,6,6,0,6,100,,"1,264",,Felony_Sentences_123,,,55
162,4189434,8106945,1,2020,Black,M,51-60,Poss W/I to Dist a Controlled Substance,Drug,,D2,Short Split,24,24,1,36,100,0,0,0,Felony_Sentences_124,,,53
163,2717614,1954003,1,2020,Black,M,22-30,Unlawful Possession of a Firearm,Weapon,,M8,Long Split,12,1,12,12,100,,,,Felony_Sentences_125,,,23
164,2717614,1954003,6,2020,Black,M,22-30,Flee Law Enforcement Officer,Other,,M8,Short Split,10,10,1,12,100,,,,Felony_Sentences_126,,,26
165,6749547,4727346,1,2020,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,14,14,1,12,100,,,,Felony_Sentences_127,,,25
166,4086830,9565071,1,2020,Black,M,61-70,Burglary Two,Property,,M7,Incarceration,1,0,1,0,100,0,0,0,Felony_Sentences_128,,,67
167,8100127,1506624,2,2020,Black,M,22-30,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,16,0,16,0,100,,,,Felony_Sentences_129,,,26
168,107262,8574971,3,2020,Black,M,18-21,Assault With A Dangerous Weapon,Violent,,M8,Short Split,9,9,1,12,100,,,,Felony_Sentences_130,,,20
169,8778735,8240598,1,2020,Black,M,31-40,Unlawful Possession of a Firearm,Weapon,,M8,Long Split,18,5,12,12,100,,,,Felony_Sentences_131,,,35
170,8778735,8240598,3,2020,Black,M,31-40,Possession of a Large Capacity Ammunition Feeding Device (and),Weapon,,M9,Long Split,11,1,10,0,100,,,,Felony_Sentences_132,,,39
171,31760,8529970,4,2020,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,24,0,24,0,100,,,,Felony_Sentences_133,,,24
172,31760,8529970,12,2020,Black,M,22-30,Contempt - Felony,Other,,M9,Incarceration,12,0,12,0,100,,,,Felony_Sentences_134,,,25
173,31760,8529970,18,2020,Black,M,22-30,"Obstructing Justice (Witness or Officer) (Influence,Delay)",Other,,M5,Incarceration,36,0,36,0,100,,,,Felony_Sentences_135,,,23
174,5432041,4349083,1,2020,Asian,F,18-21,Fraud 1st Deg $1000 or More,Other,,M9,Probation,12,12,0,36,500,,"60,890.02",,Felony_Sentences_136,,,19
175,5432041,4349083,2,2020,Asian,F,18-21,First Degree Identity Theft,Property,,M8,Probation,24,24,0,36,500,,,,Felony_Sentences_137,,,19
176,6912031,1999576,2,2020,Black,F,31-40,Aggravated Assault Knowingly,Violent,,M4,Incarceration,72,0,72,0,100,,,,Felony_Sentences_138,,,32
177,8808671,6037115,1,2020,Black,F,31-40,Assault With A Dangerous Weapon,Violent,,M8,Incarceration,1,0,1,0,100,,,,Felony_Sentences_139,,,35
178,2375072,5502270,3,2020,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,9,9,0,11,100,,,,Felony_Sentences_140,,,27
179,3685143,4091780,3,2020,Black,M,41-50,Unlawful Possession of Liquid PCP,Drug,,D3,Probation,9,9,0,9,100,,,,Felony_Sentences_141,,,45
180,2696845,5049025,3,2020,Black,M,22-30,Murder II,Homicide,Murder II,M2,Incarceration,252,0,252,0,100,,,,Felony_Sentences_142,,,27
181,8930004,5952578,1,2020,White,M,22-30,Murder II,Homicide,Murder II,M2,Incarceration,120,0,120,0,100,,,,Felony_Sentences_143,,,25
182,5381358,6404019,1,2020,Black,M,31-40,Assault W/I to Kill,Violent,,M3,Incarceration,84,0,84,0,100,,,,Felony_Sentences_144,,,36
183,5381358,6404019,2,2020,Black,M,31-40,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,,,,Felony_Sentences_145,,,36
184,5381358,6404019,3,2020,Black,M,31-40,Aggravated Aslt Knowingly Grave Risk,Violent,,M4,Incarceration,60,0,60,0,100,,,,Felony_Sentences_146,,,38
185,5381358,6404019,4,2020,Black,M,31-40,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,,,,Felony_Sentences_147,,,36
186,5381358,6404019,5,2020,Black,M,31-40,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,36,0,36,0,100,,,,Felony_Sentences_148,,,37
187,5381358,6404019,6,2020,Black,M,31-40,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,,,,Felony_Sentences_149,,,36
1,7608607,5527138,1,2020,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D3,Incarceration,18,0,18,0,100,,,,Felony_Sentences_150,,,54
2,2698058,3241944,2,2020,Black,M,51-60,Robbery,Violent,,M6,Probation,90,90,0,48,100,0,0,0,Felony_Sentences_151,,,56
3,2698058,3241944,5,2020,Black,M,51-60,Theft First Degree,Property,,M8,Probation,54,54,0,48,100,0,0,0,Felony_Sentences_152,,,56
4,7747333,969450,4,2020,Black,M,15-17,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,30,0,30,0,100,,,,Felony_Sentences_153,,,15
5,7747333,969450,5,2020,Black,M,15-17,Flee Law Enforcement Officer,Other,,M8,Incarceration,30,0,30,0,100,,,,Felony_Sentences_154,,,15
6,6837838,166935,4,2020,Black,M,15-17,Unauthorized Use of A Vehicle,Property,,M8,Short Split,14,14,1,36,100,,,,Felony_Sentences_155,,,16
7,686836,3898451,1,2020,Black,M,22-30,Murder II,Homicide,Murder II,M2,Incarceration,96,0,96,60,100,0,0,0,Felony_Sentences_156,,,28
8,686836,3898451,2,2020,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0,Felony_Sentences_157,,,25
9,686836,3898451,3,2020,Black,M,22-30,Unlawful Possession of a Firearm (Crime of Violence),Weapon,,M6,Incarceration,36,0,36,0,100,0,0,0,Felony_Sentences_158,,,27
10,686836,3898451,4,2020,Black,M,22-30,Carry Pistol Outside Home/Business,Weapon,,M8,Incarceration,36,0,36,60,100,0,0,0,Felony_Sentences_159,,,27
11,6736592,8823036,1,2020,Black,M,22-30,Murder II,Homicide,Murder II,M2,Incarceration,132,0,132,0,100,,,,Felony_Sentences_160,,,28
12,6736592,8823036,3,2020,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,36,0,36,0,100,,,,Felony_Sentences_161,,,29
13,6736592,8823036,8,2020,Black,M,22-30,"Obstructing Justice (Witness or Officer) (Influence,Delay)",Other,,M5,Incarceration,72,0,72,0,100,,,,Felony_Sentences_162,,,26
14,6736592,8823036,14,2020,Black,M,22-30,Obstructing Justice,Other,,M9,Incarceration,7,0,7,0,100,,,,Felony_Sentences_163,,,26
